StateCo,StateAb,DivName,DivId,DivCo,PPName,Status,PremisesName,Address1,Address2,Address3,Locality,AddrStateAb,Postcode,PPId,AdvPremisesName,AdvAddress,AdvLocality,AdvBoothLocation,AdvGateAccess,EntrancesDesc,Lat,Lon,CCD,WheelchairAccess,OrdVoteEst,DecVoteEst,NoOrdIssuingOff,NoOfDecIssuingOff
3,VIC,McMillan,227,28,Jindivick,Current,Jindivick Primary School,Jacksons Track,,,JINDIVICK,VIC,3818,4399,Primary School,Jacksons Track,JINDIVICK,,,Gateway entrance to the polling place is in Jackson's Track.,-38.0286,145.902,2180608,Assisted,272,19,0,1
3,VIC,McMillan,227,28,Kongwak,Current,Kongwak Public Hall,Wonthaggi Rd,,,KONGWAK,VIC,3951,3775,Public Hall,Wonthaggi Rd,KONGWAK,,,Entrance to the polling place is from Wo nthaggi Rd.,-38.5201,145.701,2200217,Assisted,236,25,0,1
3,VIC,McMillan,227,28,Koonwarra,Current,Koonwarra Village School,20-26 Koala Dr,,,KOONWARRA,VIC,3954,3776,Village School,20-26 Koala Dr,KOONWARRA,,,,-38.547127,145.946707,2200203,Assisted,442,30,0,1
3,VIC,McMillan,227,28,Korumburra,Current,St Paul's Anglican Parish Hall,Bridge St,,,KORUMBURRA,VIC,3950,3777,St Paul's Anglican Parish Hall,Bridge St,KORUMBURRA,,,Entrance to the polling place is from Br idge St.,-38.4349,145.823,2200914,Assisted,2239,142,5,2
3,VIC,McMillan,227,28,Labertouche,Current,Labertouche & District Community Centre,Labertouche Rd,,,LABERTOUCHE,VIC,3816,4400,Labertouche & District Community Centre,Labertouche Rd,LABERTOUCHE,,,The entrance to the polling place is from the carpark accessible from Laberto uche Rd.,-38.0477,145.806,2180609,Assisted,236,6,0,1
3,VIC,McMillan,227,28,Leongatha,Current,Leongatha Senior Citizens Centre,23 Smith St,,,LEONGATHA,VIC,3953,3779,Leongatha Senior Citizens Centre,23 Smith St,LEONGATHA,,,The entrance to the polling place is at the corner of Smith St and Watt St.,-38.4773,145.9421,2200312,Assisted,3400,164,7,2
3,VIC,McMillan,227,28,Leongatha South,Current,Leongatha South & District Community Centre,Bass Hwy,,,LEONGATHA SOUTH,VIC,3953,3780,Community Centre,Bass Hwy,LEONGATHA SOUTH,,,Gateway entrance to the polling place is from Bass Hwy.,-38.5301,145.881,2200302,Assisted,258,8,0,1
3,VIC,McMillan,227,28,Lillico,Abolition,,,,,,,,0,,,,,,,,,0,,0,0,0,0
3,VIC,McMillan,227,28,Loch,Current,Loch Masonic Centre,20 Victoria Street,,,LOCH,VIC,3945,3641,Masonic Centre,20 Victoria St,LOCH,,,Street entrance to the polling place is in Roy St.,-38.368983,145.704935,2200906,Assisted,316,64,0,1
3,VIC,McMillan,227,28,Longwarry,Current,Longwarry Public Hall,14 Kennedy St,,,LONGWARRY,VIC,3816,4403,Public Hall,14 Kennedy St,LONGWARRY,,,Entrance to the polling place is from Ke nnedy St.,-38.1144,145.768,2180701,Assisted,1010,85,3,1
